algo,nlist,nprobe,M,nbits,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,faiss_threads,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100,n_base
IVFPQ,4096,1024,32,8,678.148329738,53.10490798950195,6996.59375,12575.41796875,128.0078125,8,2129.2204448168777,0.4692873070330582,0.4988225241468171,0.3719,0.50826,0.589511,500000
IVFPQ,4096,1,64,8,664.4453966999972,68.36369705200195,7076.37109375,13679.1953125,310.94921875,8,14755.108889704614,0.0680205888667842,0.1139211681896995,0.3903,0.44031,0.349492,500000
IVFPQ,4096,4,64,8,664.4453966999972,68.36369705200195,7076.37109375,13679.1953125,310.94921875,8,14053.764452278276,0.0713584318326563,0.0778260820377909,0.4816,0.59113,0.620528,500000
IVFPQ,4096,16,64,8,664.4453966999972,68.36369705200195,7076.37109375,13679.1953125,310.94921875,8,12320.751197029416,0.0819384552671787,0.1504995699920981,0.4932,0.61107,0.673069,500000
IVFPQ,4096,64,64,8,664.4453966999972,68.36369705200195,7076.37109375,13679.1953125,310.94921875,8,7866.524716698868,0.1264527563672648,0.2268789999718137,0.4935,0.61231,0.677082,500000
IVFPQ,4096,256,64,8,664.4453966999972,68.36369705200195,7076.37109375,13679.1953125,310.94921875,8,3519.35811953181,0.284991667435194,0.3421112242307572,0.4936,0.6124,0.677181,500000
IVFPQ,4096,1024,64,8,664.4453966999972,68.36369705200195,7076.37109375,13679.1953125,310.94921875,8,1092.3522374103195,0.9151448059671868,1.0956843720043252,0.4936,0.6124,0.677181,500000
IVFPQ,4096,1,128,8,671.0040996149983,98.88127517700195,7359.52734375,16010.3515625,548.95703125,8,13145.605619344535,0.07525749016434323,0.1599348860043392,0.446,0.46733,0.351251,500000
IVFPQ,4096,4,128,8,671.0040996149983,98.88127517700195,7359.52734375,16010.3515625,548.95703125,8,12766.71791403906,0.07904340396659487,0.10342310858613915,0.6003,0.68428,0.675389,500000
IVFPQ,4096,16,128,8,671.0040996149983,98.88127517700195,7359.52734375,16010.3515625,548.95703125,8,9637.987270977334,0.10295634209881731,0.1706862949860806,0.6275,0.72682,0.771396,500000
IVFPQ,4096,64,128,8,671.0040996149983,98.88127517700195,7359.52734375,16010.3515625,548.95703125,8,5082.594217021678,0.19681334016640903,0.2579291024136182,0.6299,0.73077,0.78379,500000
IVFPQ,4096,256,128,8,671.0040996149983,98.88127517700195,7359.52734375,16010.3515625,548.95703125,8,1696.2768174000173,0.5898010230672904,0.8008178975389455,0.6301,0.73097,0.784394,500000
IVFPQ,4096,1024,128,8,671.0040996149983,98.88127517700195,7359.52734375,16010.3515625,548.95703125,8,497.65502382388524,2.009972695533118,2.151047982197633,0.6301,0.73097,0.784403,500000
