algo,sq,nlist,nprobe,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,faiss_threads,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100,n_base
IVFSQ,SQ8,1024,256,166.02967457499835,988.4008102416992,7013.76171875,11300.6171875,175.33984375,8,174.5806564069879,5.728850542233219,6.038519385233667,0.9856,0.99005,0.994081,500000
IVFSQ,SQ8,1024,1024,166.02967457499835,988.4008102416992,7013.76171875,11300.6171875,175.33984375,8,73.16627730330877,13.67595153023176,15.258207988756476,0.9856,0.99009,0.994114,500000
IVFSQ,SQ4,1024,1,165.9712593990007,500.1195602416992,6964.30859375,11263.125,20.8515625,8,24365.314441795734,0.0420440803993794,0.0815415247583586,0.5959,0.61776,0.561579,500000
IVFSQ,SQ4,1024,4,165.9712593990007,500.1195602416992,6964.30859375,11263.125,20.8515625,8,8566.311727440974,0.1174035667675828,0.1734694880062307,0.76,0.81726,0.832817,500000
IVFSQ,SQ4,1024,16,165.9712593990007,500.1195602416992,6964.30859375,11263.125,20.8515625,8,1963.9040180012223,0.5125706496680019,0.721491519830306,0.7908,0.85887,0.90394,500000
IVFSQ,SQ4,1024,64,165.9712593990007,500.1195602416992,6964.30859375,11263.125,20.8515625,8,573.0494801628438,1.746363192368517,2.056168858428282,0.7947,0.86359,0.913903,500000
IVFSQ,SQ4,1024,256,165.9712593990007,500.1195602416992,6964.30859375,11263.125,20.8515625,8,181.12477166243656,5.518314506798318,5.722511537016544,0.795,0.86406,0.91469,500000
IVFSQ,SQ4,1024,1024,165.9712593990007,500.1195602416992,6964.30859375,11263.125,20.8515625,8,70.77129835850393,14.13197146393298,14.20450664161108,0.795,0.86409,0.914714,500000
IVFSQ,SQ8,4096,1,652.163797725003,1012.4242477416992,6890.3046875,11174.08984375,29.46875,8,15726.493283423672,0.0644065574998724,0.0980542396326199,0.5559,0.49402,0.352034,500000
IVFSQ,SQ8,4096,4,652.163797725003,1012.4242477416992,6890.3046875,11174.08984375,29.46875,8,12649.92634189921,0.0787598171671561,0.1467893561573873,0.8703,0.83306,0.731587,500000
IVFSQ,SQ8,4096,16,652.163797725003,1012.4242477416992,6890.3046875,11174.08984375,29.46875,8,7644.912562879608,0.1320136002325549,0.1975823478212987,0.9658,0.95781,0.924316,500000
IVFSQ,SQ8,4096,64,652.163797725003,1012.4242477416992,6890.3046875,11174.08984375,29.46875,8,2792.253558621843,0.3617973727343875,0.535823687793163,0.986,0.98712,0.984836,500000
IVFSQ,SQ8,4096,256,652.163797725003,1012.4242477416992,6890.3046875,11174.08984375,29.46875,8,790.0661142051817,1.2653133605338855,1.485266402606794,0.9889,0.9908,0.994323,500000
IVFSQ,SQ8,4096,1024,652.163797725003,1012.4242477416992,6890.3046875,11174.08984375,29.46875,8,208.82006873827905,4.788215641466013,5.078770434202307,0.9891,0.99096,0.99471,500000
IVFSQ,SQ4,4096,1,652.5332195569972,524.1429977416992,6665.65625,10958.47265625,-104.02734375,8,15133.907125738511,0.0693026355317367,0.15997567778249505,0.4946,0.4828,0.351932,500000
IVFSQ,SQ4,4096,4,652.5332195569972,524.1429977416992,6665.65625,10958.47265625,-104.02734375,8,12077.421878177816,0.08245933156455673,0.11521215425527737,0.7372,0.77393,0.720067,500000
IVFSQ,SQ4,4096,16,652.5332195569972,524.1429977416992,6665.65625,10958.47265625,-104.02734375,8,7070.261620657773,0.1420996391016767,0.21724977962003322,0.7981,0.86079,0.882815,500000
IVFSQ,SQ4,4096,64,652.5332195569972,524.1429977416992,6665.65625,10958.47265625,-104.02734375,8,2298.8744523549203,0.4324540950350638,0.61791155563551,0.8093,0.8767,0.920243,500000
IVFSQ,SQ4,4096,256,652.5332195569972,524.1429977416992,6665.65625,10958.47265625,-104.02734375,8,719.3129568323216,1.389737614333717,1.6619408492239016,0.8114,0.87836,0.924881,500000
IVFSQ,SQ4,4096,1024,652.5332195569972,524.1429977416992,6665.65625,10958.47265625,-104.02734375,8,210.6460213468508,4.746678111465493,4.951835486380878,0.8116,0.87842,0.925117,500000
